plant,factory,vendor,vendor_name,material,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
4027,F27,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,120,295
4033,F33,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,200,265
4033,F33,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,120,295
4033,F33,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,300,260
4033,F33,207452,PIMPINAN MEGAMAS SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,400,278
4033,F33,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,600,278
4027,F27,202388,TOP BIOMASS RESOURCES,21000096,PKS GRANULE,01/02/2022,150,195
1105,F5/F23,204134,PDTC SDN BHD,21000010,SHORT EFB,01/02/2022,500,48
1105,F5/F23,200906,HK KITARAN SDN BHD,21000010,SHORT EFB,01/02/2022,600,53
1105,F5/F23,206793,MULTI BIO RESOURCES & SUPPLIES,21000010,SHORT EFB,01/02/2022,300,48
1105,F5/F23,209412,MUAZIQ ENGINEERING SDN BHD,21000010,SHORT EFB,01/02/2022,900,40
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000010,SHORT EFB,01/02/2022,300,48
